bond_id,issuer_id,purpose_id,cusip,bond_type,coupon_rate,issue_date,maturity_date,face_value,duration,tax_status
BOND0000,5,5,645796B2,Revenue,3.92,2015-02-01,2024-02-01,1000.0,4.73,Tax-Exempt
BOND0001,15,5,172458B5,Revenue,4.75,2014-07-01,2034-07-01,1000.0,6.11,Tax-Exempt
BOND0002,29,1,862546C4,General Obligation,2.78,2011-03-01,2017-03-01,1000.0,8.45,Tax-Exempt
BOND0003,34,5,906077A7,General Obligation,3.75,2013-08-01,2022-08-01,1000.0,5.57,Tax-Exempt
BOND0004,5,5,343865A5,General Obligation,5.23,2019-12-01,2036-12-01,1000.0,6.56,Tax-Exempt
BOND0005,4,3,595998A6,General Obligation,2.09,2010-10-01,2025-10-01,1000.0,6.47,Tax-Exempt
BOND0006,14,5,695041B9,General Obligation,3.55,2018-01-01,2033-01-01,1000.0,7.92,Tax-Exempt
BOND0007,7,3,642155A1,Revenue,4.32,2022-05-01,2031-05-01,1000.0,7.17,Tax-Exempt
BOND0008,1,5,123047A9,General Obligation,2.91,2015-06-01,2023-06-01,1000.0,8.72,Tax-Exempt
BOND0009,6,1,883027A1,General Obligation,5.27,2022-06-01,2028-06-01,1000.0,3.47,Tax-Exempt
BOND0010,22,1,418572A9,General Obligation,3.58,2016-02-01,2036-02-01,1000.0,5.68,Tax-Exempt
BOND0011,36,1,923088B8,General Obligation,4.32,2014-10-01,2021-10-01,1000.0,5.93,Tax-Exempt
BOND0012,26,5,496237B1,General Obligation,3.99,2022-09-01,2034-09-01,1000.0,4.93,Tax-Exempt
BOND0013,43,4,788273B9,Revenue,2.36,2015-06-01,2027-06-01,1000.0,7.05,Tax-Exempt
BOND0014,14,3,485975B2,Revenue,5.47,2017-05-01,2030-05-01,1000.0,8.85,Tax-Exempt
BOND0015,13,5,288520A1,General Obligation,4.08,2022-03-01,2038-03-01,1000.0,3.62,Tax-Exempt
BOND0016,7,1,582808C4,Revenue,5.35,2015-10-01,2031-10-01,1000.0,3.4,Tax-Exempt
BOND0017,39,3,873794C8,General Obligation,4.93,2018-03-01,2024-03-01,1000.0,4.18,Tax-Exempt
BOND0018,36,1,263643B4,General Obligation,3.72,2015-10-01,2027-10-01,1000.0,9.57,Tax-Exempt
