bond_id,trade_date,trade_price,yield,quantity,buyer_type
BOND1358,2020-10-15,109.78,3.08,10,Retail
BOND1358,2021-11-26,110.35,3.13,12,Institutional
BOND1698,2022-10-17,94.25,4.85,7,Institutional
BOND1698,2024-02-19,89.77,5.14,13,Institutional
BOND0180,2020-04-10,109.75,2.46,38,Institutional
BOND0180,2021-02-27,106.32,2.7,49,Institutional
BOND0180,2022-03-09,103.82,2.56,30,Institutional
BOND0449,2022-06-11,104.89,3.97,29,Institutional
BOND0449,2023-04-15,98.76,4.31,38,Institutional
BOND0449,2023-11-14,98.86,4.36,28,Institutional
BOND0449,2023-12-22,99.53,4.14,4,Retail
BOND0449,2024-04-19,99.88,4.22,27,Institutional
BOND0449,2024-10-08,99.09,4.3,7,Retail
BOND0680,2023-10-16,93.87,3.49,6,Retail
BOND0680,2024-07-23,94.19,3.63,39,Institutional
BOND1237,2020-03-26,99.98,5.01,1,Retail
BOND1237,2020-08-05,96.61,5.33,10,Retail
BOND1237,2021-10-29,101.21,4.94,22,Institutional
BOND1237,2023-04-27,94.06,5.2,46,Institutional
BOND1854,2022-03-23,107.6,4.04,48,Institutional
BOND1854,2022-03-28,104.15,4.12,2,Retail
BOND1854,2022-12-05,102.16,4.08,1,Retail
BOND1854,2023-09-25,98.51,4.24,60,Municipal
BOND1854,2024-04-22,99.39,4.26,24,Institutional
BOND0632,2022-01-06,91.39,2.62,28,Institutional
BOND0632,2023-05-19,89.85,2.7,5,Institutional
BOND0632,2023-10-07,89.13,2.67,4,Retail
BOND0632,2023-10-23,89.83,2.76,37,Institutional
BOND0632,2023-12-25,86.56,2.68,33,Institutional
BOND0632,2024-06-17,89.37,2.73,36,Institutional
BOND1442,2020-01-26,110.01,3.3,33,Institutional
BOND1442,2020-02-18,105.79,3.39,6,Retail
BOND1442,2020-04-16,107.67,3.17,27,Institutional
BOND1442,2020-04-24,104.63,3.38,36,Institutional
BOND1442,2020-05-17,115.0,2.99,27,Institutional
BOND1442,2020-06-20,102.89,3.37,27,Institutional
BOND1442,2020-07-09,114.37,3.15,34,Institutional
BOND1093,2021-08-29,106.85,4.83,8,Retail
BOND1093,2021-09-03,103.65,5.09,10,Institutional
BOND1093,2021-11-13,105.39,4.88,3,Retail
BOND1093,2022-04-30,99.15,5.25,26,Institutional
BOND1093,2022-07-10,96.38,5.37,22,Institutional
BOND1093,2022-08-10,98.29,5.2,49,Institutional
BOND1093,2023-01-21,98.48,5.11,47,Institutional
BOND1093,2024-02-25,97.18,5.25,18,Institutional
BOND0113,2020-01-31,105.88,2.79,27,Institutional
BOND0113,2020-02-10,103.81,2.76,9,Retail
BOND0113,2020-06-03,105.15,2.6,25,Municipal
BOND0113,2021-11-11,101.85,2.85,15,Institutional
BOND0113,2022-07-20,95.9,2.98,26,Institutional
BOND1709,2020-05-30,109.29,3.06,18,Institutional
BOND1709,2021-05-29,109.09,3.07,16,Institutional
BOND1709,2021-08-08,105.64,3.16,12,Institutional
BOND1709,2022-12-03,104.29,3.24,48,Institutional
BOND1709,2024-08-18,99.68,3.4,42,Institutional
BOND1342,2020-03-03,115.0,2.24,87,Municipal
BOND1342,2021-07-25,113.83,2.29,10,Retail
BOND1342,2023-05-13,106.26,2.35,46,Institutional
BOND1342,2023-05-29,107.73,2.5,49,Institutional
BOND1342,2023-06-11,105.2,2.47,24,Institutional
BOND1195,2021-02-12,103.6,2.3,39,Institutional
BOND1195,2021-05-10,105.67,2.31,8,Institutional
BOND1195,2024-10-03,94.16,2.55,19,Institutional
BOND0686,2020-01-17,105.06,2.26,2,Retail
BOND0686,2020-02-02,106.93,2.21,10,Institutional
BOND0686,2021-02-05,106.5,2.31,16,Institutional
BOND0686,2023-02-20,97.47,2.34,22,Institutional
BOND0686,2024-04-02,98.35,2.29,11,Institutional
BOND0686,2024-08-24,97.83,2.35,1,Retail
BOND0874,2021-09-10,100.94,3.21,5,Retail
BOND0874,2022-03-06,102.02,3.2,38,Institutional
BOND0874,2022-05-13,96.21,3.54,31,Institutional
BOND0874,2024-09-24,95.87,3.43,24,Institutional
BOND0675,2022-05-30,101.65,3.98,35,Institutional
BOND0675,2023-01-11,98.63,4.13,47,Institutional
BOND0675,2023-02-18,100.31,4.1,11,Institutional
BOND0675,2023-08-25,99.43,4.1,11,Institutional
BOND0675,2024-10-11,98.13,4.2,6,Retail
BOND0675,2024-10-12,99.37,4.11,61,Municipal
BOND0145,2020-02-01,105.24,2.25,2,Retail
BOND0145,2021-06-24,112.76,2.15,18,Institutional
BOND0145,2022-01-30,107.22,2.26,8,Retail
BOND0145,2022-02-12,108.02,2.32,29,Institutional
BOND0145,2022-02-21,109.85,2.19,9,Institutional
BOND0145,2022-08-28,106.59,2.3,11,Institutional
BOND0145,2023-04-26,103.62,2.27,22,Municipal
BOND0538,2020-03-01,102.99,2.28,5,Retail
BOND0538,2021-07-16,100.8,2.44,47,Institutional
BOND1700,2021-01-24,110.14,2.27,9,Institutional
BOND1700,2022-02-17,104.97,2.45,26,Institutional
BOND1700,2022-05-31,98.63,2.7,6,Institutional
BOND1700,2022-08-12,101.54,2.65,30,Institutional
BOND1700,2022-10-20,106.95,2.32,17,Municipal
BOND1700,2022-11-12,104.42,2.66,41,Municipal
BOND1700,2023-09-30,102.6,2.58,7,Retail
BOND1700,2024-06-06,102.39,2.62,19,Institutional
BOND0086,2020-06-05,102.99,2.73,17,Institutional
BOND0086,2022-03-07,100.53,2.95,7,Institutional
BOND0086,2024-07-20,95.48,2.86,9,Retail
BOND0419,2020-06-19,109.55,3.52,29,Institutional
BOND0419,2020-08-12,103.4,3.66,8,Retail
BOND0419,2021-08-14,107.23,3.63,8,Retail
BOND0419,2022-02-04,101.44,3.73,12,Institutional
BOND0419,2023-07-06,100.97,3.82,32,Institutional
BOND0419,2024-02-09,99.94,3.83,14,Institutional
BOND0401,2020-11-26,102.68,1.64,6,Institutional
BOND0401,2021-02-11,103.2,1.6,22,Institutional
BOND0401,2022-01-13,97.67,1.69,35,Institutional
BOND0401,2022-04-10,95.56,1.79,8,Retail
BOND0401,2022-05-18,95.09,1.83,10,Retail
BOND0401,2022-07-27,95.6,1.8,49,Institutional
BOND0401,2022-09-14,96.66,1.67,37,Municipal
BOND0401,2022-11-24,96.82,1.82,8,Retail
BOND0986,2020-04-14,110.57,5.31,48,Municipal
BOND0986,2021-12-04,106.36,5.39,9,Retail
BOND0986,2023-03-07,100.5,5.73,27,Institutional
BOND0476,2020-06-01,109.86,4.07,36,Institutional
BOND0476,2021-02-22,112.17,4.02,38,Institutional
BOND0476,2023-02-18,102.59,4.51,34,Institutional
BOND0476,2023-03-13,103.74,4.36,33,Institutional
BOND0476,2023-11-15,106.62,4.05,28,Institutional
BOND0476,2024-08-18,102.88,4.25,21,Municipal
BOND0476,2024-09-25,102.69,4.2,12,Institutional
BOND0476,2024-11-11,104.6,4.1,66,Municipal
BOND0027,2021-09-17,94.97,4.66,62,Municipal
BOND0027,2022-04-14,86.83,5.03,34,Institutional
BOND0027,2022-04-28,89.06,5.01,5,Institutional
BOND0699,2020-04-15,102.52,4.41,28,Institutional
BOND0699,2023-10-11,88.31,4.94,34,Institutional
BOND0699,2024-12-27,89.14,5.05,28,Institutional
BOND1274,2020-10-06,109.91,4.68,8,Retail
BOND1274,2022-06-12,103.13,4.97,10,Institutional
BOND1274,2024-04-10,97.86,5.27,41,Institutional
BOND1799,2020-04-10,94.58,3.79,46,Institutional
BOND1799,2021-08-17,97.1,3.74,6,Retail
BOND1799,2022-04-15,91.97,3.82,22,Institutional
BOND1799,2022-04-30,90.63,4.03,23,Institutional
BOND1799,2022-11-03,93.47,4.02,29,Institutional
BOND1799,2022-11-18,94.67,3.81,38,Institutional
BOND1799,2024-07-26,91.3,4.01,76,Municipal
BOND0650,2020-01-05,103.18,1.88,33,Institutional
BOND0650,2020-02-12,97.68,2.05,37,Institutional
BOND0650,2021-01-03,103.88,1.72,11,Institutional
BOND0650,2023-05-11,96.18,2.03,50,Institutional
BOND0650,2023-07-13,94.47,2.08,32,Institutional
BOND0650,2023-08-22,99.02,2.22,22,Institutional
BOND0650,2023-12-24,96.86,1.99,42,Institutional
BOND0650,2024-02-25,96.34,2.21,10,Retail
BOND1953,2022-04-06,100.89,3.93,89,Municipal
BOND1953,2023-01-22,97.87,4.13,5,Institutional
BOND1953,2023-03-06,99.52,3.93,12,Institutional
BOND1953,2023-08-14,100.5,3.92,24,Institutional
BOND1953,2023-10-06,98.23,4.03,32,Institutional
BOND1953,2024-06-07,97.3,4.23,5,Retail
BOND1953,2024-06-13,96.78,4.06,5,Institutional
BOND1953,2024-08-12,96.45,3.96,4,Retail
BOND0052,2021-01-25,96.98,4.75,47,Institutional
BOND0052,2024-01-18,85.0,5.25,46,Institutional
BOND0052,2024-12-17,88.64,5.23,5,Retail
BOND1656,2020-10-11,102.34,4.43,8,Retail
BOND1656,2020-12-27,99.88,4.42,11,Institutional
BOND1656,2021-12-05,96.87,4.63,46,Institutional
BOND1656,2021-12-28,98.0,4.59,46,Institutional
BOND1656,2023-02-27,90.32,4.96,28,Institutional
BOND1656,2023-08-07,90.22,5.11,6,Retail
BOND1656,2024-09-25,88.33,4.96,5,Retail
BOND1577,2022-01-31,98.27,2.93,41,Institutional
BOND1577,2022-07-24,97.18,2.79,8,Retail
BOND1577,2023-06-19,94.41,2.91,27,Municipal
BOND1398,2020-03-12,100.43,4.42,94,Municipal
BOND1398,2020-07-09,97.52,4.47,18,Institutional
BOND1398,2020-08-21,94.14,4.64,23,Institutional
BOND1398,2020-09-01,97.51,4.64,3,Retail
BOND1336,2022-03-04,103.23,3.18,70,Municipal
BOND1336,2023-03-19,99.84,3.4,33,Municipal
BOND1336,2023-04-16,95.97,3.42,42,Municipal
BOND1336,2023-06-24,97.93,3.46,1,Retail
BOND1336,2024-04-28,98.2,3.41,3,Retail
BOND0569,2021-02-25,103.07,2.67,13,Institutional
BOND0569,2022-01-26,98.08,2.62,37,Municipal
BOND0569,2022-08-29,97.69,2.67,10,Retail
BOND0569,2022-11-03,98.3,2.69,14,Institutional
BOND0569,2024-03-25,96.08,2.9,4,Retail
